iter	RMSE
787	74656.84779
788	74629.0964
789	74577.79667
790	74539.96651
791	74510.8786
792	74458.5589
793	74426.90009
794	74398.28527
795	74368.08677
796	74330.88911
797	74294.39276
798	74266.31547
799	74232.26501
800	74184.58378
801	74134.51742
802	74092.90941
803	74062.03264
804	74020.13891
805	73986.28892
806	73956.55273
807	73921.88966
808	73889.79924
809	73860.15972
810	73825.85776
811	73781.83169
812	73735.49861
813	73710.40896
814	73679.66658
815	73636.22266
816	73611.1545
817	73587.27996
818	73544.76913
819	73513.28033
820	73481.92947
821	73456.52705
822	73417.30185
823	73389.6958
824	73364.66333
825	73336.49001
826	73302.52657
827	73280.57069
828	73255.46617
829	73226.97585
830	73189.2507
831	73165.69097
832	73126.53974
833	73101.58204
834	73037.61296
835	73004.93425
836	72959.35466
837	72929.83829
838	72902.13725
839	72849.51899
840	72829.40502
841	72806.56956
842	72753.3792
843	72740.98052
844	72715.14032
845	72676.91589
846	72655.3573
847	72627.11924
848	72590.0766
849	72539.74161
850	72495.25354
851	72456.45558
852	72408.2977
853	72360.40817
854	72339.09806
855	72305.86525
856	72288.25454
857	72258.14943
858	72217.15726
859	72183.48147
860	72154.9931
861	72132.15077
862	72102.73943
863	72074.21881
864	72021.55634
865	71993.64427
866	71968.65944
867	71925.77342
868	71892.87547
869	71846.14016
870	71829.18984
871	71808.09704
872	71782.3576
873	71762.38958
874	71738.55941
875	71701.59499
876	71667.801
877	71633.73585
878	71613.26627
879	71564.81269
880	71514.23927
881	71491.90662
882	71448.97121
883	71405.25195
884	71375.36855
885	71348.09131
886	71309.1158
887	71260.92316
888	71240.75806
889	71214.12578
890	71174.82891
891	71146.4817
892	71114.48775
893	71070.34647
894	71034.18482
895	71003.37833
896	70970.46088
897	70950.79775
898	70929.56318
899	70903.91577
900	70878.23975
901	70839.16927
902	70813.02985
903	70782.87637
904	70753.90552
905	70733.71806
906	70709.25913
907	70688.37866
908	70652.46182
909	70621.78634
910	70590.01951
911	70567.15933
912	70545.01591
913	70514.04965
914	70479.05704
915	70452.93711
916	70412.17925
917	70392.44208
918	70364.40712
919	70339.47618
920	70321.31911
921	70290.60604
